mandi,crop,gross_price,distance_km,perishability,days_in_storage,net_earning,action
Azadpur Mandi,Wheat,2450.0,12.9,1,43,1724.11,2
Azadpur Mandi,Wheat,3092.0,11.1,1,0,2963.56,2
Azadpur Mandi,Wheat,2600.0,5.7,2,2,2453.47,2
Azadpur Mandi,Wheat,2900.0,26.8,1,13,2472.07,2
Azadpur Mandi,Wheat,2915.0,5.0,1,14,2589.26,2
Azadpur Mandi,Wheat,3200.0,5.0,1,31,2528.28,2
Azadpur Mandi,Wheat,2965.0,21.2,2,29,1811.58,1
Azadpur Mandi,Wheat,3371.0,22.6,1,42,2369.65,2
Azadpur Mandi,Wheat,2810.0,9.5,2,6,2502.63,2
Azadpur Mandi,Wheat,2900.0,25.8,2,1,2654.95,2
Azadpur Mandi,Wheat,2800.0,29.8,1,5,2488.24,2
Azadpur Mandi,Wheat,2725.0,29.6,2,19,1924.52,1
Azadpur Mandi,Wheat,2785.0,32.4,2,27,1713.59,1
Azadpur Mandi,Wheat,2740.0,12.6,1,0,2609.6,2
Azadpur Mandi,Wheat,2820.0,24.2,1,12,2429.88,2
Azadpur Mandi,Wheat,2680.0,5.0,2,26,1786.32,1
Azadpur Mandi,Wheat,2985.0,18.5,1,41,2121.98,2
Azadpur Mandi,Wheat,2730.0,10.0,1,31,2128.94,1
Azadpur Mandi,Wheat,3037.0,21.0,2,11,2474.03,2
Azadpur Mandi,Wheat,2790.0,18.9,1,36,2054.71,2
Azadpur Mandi,Wheat,3425.0,36.4,1,1,3119.27,2
Azadpur Mandi,Mustard,5450.0,15.9,3,36,1846.45,2
Azadpur Mandi,Mustard,5800.0,33.3,3,1,5385.48,0
Azadpur Mandi,Mustard,5950.0,18.6,2,31,3591.78,1
Azadpur Mandi,Mustard,5945.0,25.0,3,16,4041.38,0
Azadpur Mandi,Mustard,6050.0,14.4,2,5,5492.04,2
Azadpur Mandi,Mustard,5670.0,20.2,1,8,5174.5,0
Azadpur Mandi,Mustard,5650.0,19.3,1,2,5356.15,0
Azadpur Mandi,Mustard,5830.0,12.9,3,25,3099.8,1
Azadpur Mandi,Mustard,7150.0,29.8,3,40,1911.9,2
Azadpur Mandi,Mustard,5915.0,15.4,3,17,3958.78,0
Azadpur Mandi,Mustard,5150.0,6.3,1,24,4287.88,1
Azadpur Mandi,Mustard,5550.0,33.9,2,41,2659.68,2
Azadpur Mandi,Mustard,6000.0,9.5,2,1,5753.12,2
Azadpur Mandi,Mustard,5572.0,5.0,1,36,4257.56,2
Azadpur Mandi,Mustard,5800.0,23.6,1,40,4212.22,2
Azadpur Mandi,Mustard,6000.0,26.0,3,19,3766.39,1
Azadpur Mandi,Mustard,5800.0,15.6,1,23,4818.92,1
Azadpur Mandi,Mustard,5680.0,5.0,2,39,2945.36,2
Azadpur Mandi,Mustard,5830.0,21.8,2,24,3974.81,1
Azadpur Mandi,Mustard,6000.0,35.6,2,45,2606.54,2
Azadpur Mandi,Mustard,6800.0,18.5,3,15,4783.69,1
Azadpur Mandi,Mustard,5650.0,9.3,1,3,5382.54,0
Azadpur Mandi,Mustard,5915.0,18.8,3,2,5479.28,0
Azadpur Mandi,Mustard,5000.0,12.3,3,21,3001.9,1
Azadpur Mandi,Mustard,5945.0,10.3,2,37,3204.95,2
Azadpur Mandi,Mustard,6050.0,15.2,2,7,5347.42,0
Azadpur Mandi,Mustard,5725.0,16.7,1,29,4551.51,1
Azadpur Mandi,Mustard,5915.0,21.7,1,4,5530.5,0
Azadpur Mandi,Mustard,5650.0,26.8,3,3,5085.89,0
Azadpur Mandi,Mustard,6000.0,28.4,1,43,4236.52,2
Azadpur Mandi,Mustard,5492.0,17.9,2,5,4958.27,0
Azadpur Mandi,Mustard,6000.0,27.7,1,23,4925.3,1
Azadpur Mandi,Mustard,5300.0,16.5,1,30,4177.9,1
Azadpur Mandi,Mustard,6000.0,35.8,3,20,3625.73,1
Azadpur Mandi,Mustard,5800.0,31.3,3,17,3814.36,0
Azadpur Mandi,Mustard,5750.0,15.3,2,2,5410.16,0
Azadpur Mandi,Mustard,5150.0,5.0,2,31,3150.68,1
Azadpur Mandi,Mustard,6080.0,36.1,2,26,3950.36,1
Azadpur Mandi,Mustard,5970.0,32.2,1,39,4333.57,2
Azadpur Mandi,Mustard,5915.0,6.3,2,38,3132.84,2
Azadpur Mandi,Mustard,5300.0,11.9,2,34,3032.58,2
Azadpur Mandi,Mustard,5550.0,31.8,1,6,5059.26,0
Azadpur Mandi,Mustard,5930.0,23.5,1,7,5432.24,0
Azadpur Mandi,Mustard,5920.0,29.3,3,22,3397.98,1
Azadpur Mandi,Mustard,6200.0,14.6,2,31,3760.72,1
Azadpur Mandi,Mustard,6100.0,25.0,3,24,3310.3,1
Azadpur Mandi,Mustard,5925.0,20.5,1,21,4967.38,1
Azadpur Mandi,Mustard,5925.0,31.6,1,41,4235.14,2
Azadpur Mandi,Mustard,5721.0,12.1,3,36,1947.96,2
Azadpur Mandi,Mustard,5915.0,30.5,1,38,4333.78,2
Azadpur Mandi,Potatoes,1745.0,31.0,4,14,1012.0,1
Azadpur Mandi,Potatoes,1550.0,23.8,3,17,955.08,1
Azadpur Mandi,Potatoes,1755.0,26.5,5,16,811.67,1
Azadpur Mandi,Potatoes,1700.0,11.0,4,22,755.2,2
Azadpur Mandi,Potatoes,1650.0,5.0,3,29,758.59,2
Azadpur Mandi,Potatoes,1650.0,16.5,3,0,1518.0,0
Azadpur Mandi,Potatoes,2320.0,33.5,5,1,2010.42,2
Azadpur Mandi,Potatoes,4250.0,20.7,3,7,3531.66,2
Azadpur Mandi,Potatoes,2000.0,11.3,3,6,1687.84,2
Azadpur Mandi,Potatoes,3800.0,20.9,4,28,1180.34,2
Azadpur Mandi,Potatoes,1750.0,5.0,4,15,1078.4,1
Azadpur Mandi,Potatoes,3300.0,5.0,4,27,1127.81,2
Azadpur Mandi,Potatoes,2000.0,5.0,4,13,1327.84,1
Azadpur Mandi,Potatoes,1845.0,5.0,4,15,1137.98,1
Azadpur Mandi,Potatoes,1700.0,18.1,3,29,744.44,2
Azadpur Mandi,Potatoes,2200.0,24.2,4,9,1576.47,2
Azadpur Mandi,Potatoes,1500.0,23.7,4,19,722.32,1
Azadpur Mandi,Potatoes,2025.0,5.0,5,25,488.62,2
Azadpur Mandi,Potatoes,4250.0,31.5,3,12,3117.18,2
Azadpur Mandi,Potatoes,2600.0,23.0,5,1,2337.7,2
Azadpur Mandi,Potatoes,1500.0,34.4,4,2,1202.95,0
Azadpur Mandi,Potatoes,3050.0,17.5,5,10,2018.8,2
Azadpur Mandi,Potatoes,1300.0,23.4,3,0,1133.6,0
Azadpur Mandi,Potatoes,1400.0,33.2,3,12,919.48,0
Azadpur Mandi,Potatoes,2300.0,5.0,4,28,729.47,2
Azadpur Mandi,Potatoes,3800.0,25.4,3,25,1964.38,2
Azadpur Mandi,Potatoes,2200.0,15.0,4,25,826.4,2
Azadpur Mandi,Potatoes,1550.0,11.4,4,20,754.31,1
Azadpur Mandi,Potatoes,3300.0,23.5,3,23,1812.5,2
Azadpur Mandi,Potatoes,1710.0,29.6,3,3,1417.3,0
Azadpur Mandi,Potatoes,1950.0,27.8,5,16,906.98,1
Azadpur Mandi,Potatoes,1900.0,15.9,4,16,1088.23,1
Azadpur Mandi,Potatoes,4250.0,13.4,4,4,3692.48,2
Azadpur Mandi,Potatoes,1500.0,16.5,3,22,828.08,2
Azadpur Mandi,Potatoes,1710.0,9.8,4,16,996.07,1
Azadpur Mandi,Potatoes,2575.0,19.2,3,21,1497.96,2
Azadpur Mandi,Potatoes,1750.0,5.0,3,8,1442.36,0
Azadpur Mandi,Potatoes,2025.0,13.9,4,30,532.31,2
Azadpur Mandi,Potatoes,1680.0,21.6,5,15,834.24,1
Azadpur Mandi,Potatoes,2400.0,5.0,3,19,1527.88,1
Azadpur Mandi,Potatoes,1500.0,29.2,3,6,1154.96,0
Azadpur Mandi,Potatoes,1500.0,34.1,4,6,1083.18,0
Azadpur Mandi,Potatoes,2025.0,5.0,5,22,664.53,2
Azadpur Mandi,Potatoes,2050.0,13.8,4,14,1279.0,1
Azadpur Mandi,Potatoes,2025.0,25.6,4,11,1347.54,1
Azadpur Mandi,Potatoes,1500.0,30.8,4,12,915.06,0
Azadpur Mandi,Potatoes,1400.0,5.0,4,26,504.59,2
Azadpur Mandi,Potatoes,1400.0,6.6,3,4,1236.47,0
Azadpur Mandi,Potatoes,2400.0,21.8,3,0,2221.2,2
Azadpur Mandi,Potatoes,1860.0,29.9,5,6,1347.59,1
Azadpur Mandi,Onions,1583.0,36.0,5,18,614.26,2
Azadpur Mandi,Onions,1583.0,28.7,5,6,1130.89,0
Azadpur Mandi,Onions,1583.0,16.3,5,18,668.63,2
Azadpur Mandi,Onions,1583.0,5.4,6,12,862.76,1
Azadpur Mandi,Onions,1583.0,5.0,5,25,380.33,2
Azadpur Mandi,Onions,1583.0,27.4,4,8,1120.65,0
Azadpur Mandi,Onions,1583.0,27.5,6,12,787.44,1
Azadpur Mandi,Onions,1583.0,9.8,4,16,919.4,1
Azadpur Mandi,Onions,1583.0,5.0,4,5,1338.78,0
Azadpur Mandi,Onions,1583.0,16.8,5,11,971.86,1
Azadpur Mandi,Onions,1583.0,35.7,4,14,887.86,1
Azadpur Mandi,Onions,1583.0,32.7,5,20,542.06,2
Azadpur Mandi,Onions,1583.0,36.2,4,3,1238.08,0
Azadpur Mandi,Onions,1583.0,20.9,4,17,844.16,1
Azadpur Mandi,Onions,1583.0,7.3,4,13,1037.19,1
Azadpur Mandi,Onions,1583.0,11.8,4,20,769.88,2
Azadpur Mandi,Onions,1583.0,25.9,6,15,642.13,1
Azadpur Mandi,Onions,1583.0,27.3,6,11,838.07,1
Azadpur Mandi,Onions,1583.0,35.0,5,11,898.7,1
Azadpur Mandi,Onions,1583.0,5.2,4,7,1264.76,0
Azadpur Mandi,Onions,1583.0,7.4,5,7,1190.48,0
Azadpur Mandi,Onions,1583.0,13.9,5,4,1291.79,0
Azadpur Mandi,Onions,1583.0,35.6,6,21,326.41,2
Azadpur Mandi,Onions,1583.0,5.0,4,0,1521.34,0
Azadpur Mandi,Onions,1583.0,15.9,4,15,931.8,1
Azadpur Mandi,Onions,1583.0,7.2,5,2,1417.65,0
Azadpur Mandi,Onions,1583.0,30.3,5,18,629.99,2
Azadpur Mandi,Onions,1583.0,26.9,6,24,208.49,2
Azadpur Mandi,Onions,1583.0,16.1,5,17,712.82,1
Azadpur Mandi,Onions,1583.0,20.8,4,22,673.33,2
Azadpur Mandi,Onions,1583.0,15.9,5,0,1455.94,0
Azadpur Mandi,Onions,1583.0,18.3,6,16,611.21,1
Azadpur Mandi,Onions,1583.0,14.7,5,24,409.68,2
Azadpur Mandi,Onions,1583.0,35.4,6,16,567.71,1
Azadpur Mandi,Onions,1583.0,30.8,5,8,1038.57,0
Azadpur Mandi,Onions,1583.0,16.0,4,20,756.78,2
Azadpur Mandi,Onions,1583.0,5.0,5,16,791.1,1
Azadpur Mandi,Onions,1583.0,20.2,4,5,1258.52,0
Azadpur Mandi,Onions,1583.0,33.5,6,4,1155.89,0
Azadpur Mandi,Onions,1583.0,26.9,5,9,1014.66,0
Azadpur Mandi,Onions,1583.0,14.7,4,13,1006.64,1
Azadpur Mandi,Onions,1583.0,8.7,4,18,851.51,2
Azadpur Mandi,Onions,1583.0,11.1,5,0,1484.74,0
Azadpur Mandi,Onions,1583.0,25.0,5,7,1107.06,0
Azadpur Mandi,Onions,1583.0,5.0,5,1,1475.7,0
Azadpur Mandi,Onions,1583.0,18.2,6,17,559.55,1
Azadpur Mandi,Onions,1583.0,31.3,5,11,913.57,1
Azadpur Mandi,Onions,1583.0,21.1,5,24,398.93,2
Azadpur Mandi,Onions,1583.0,22.1,6,14,703.7,1
Azadpur Mandi,Onions,1583.0,16.2,4,20,756.15,2
Azadpur Mandi,Tomatoes,1600.0,29.7,10,5,972.86,2
Azadpur Mandi,Tomatoes,1200.0,5.0,9,1,1084.12,0
Azadpur Mandi,Tomatoes,3800.0,23.8,10,10,1432.48,2
Azadpur Mandi,Tomatoes,2200.0,20.7,8,7,1349.12,2
Azadpur Mandi,Tomatoes,2460.0,15.4,10,9,1066.46,2
Azadpur Mandi,Tomatoes,2600.0,25.9,8,3,2048.07,2
Azadpur Mandi,Tomatoes,3000.0,33.9,9,0,2736.6,0
Azadpur Mandi,Tomatoes,2000.0,17.6,9,5,1353.71,2
Azadpur Mandi,Tomatoes,1200.0,13.7,9,10,503.15,2
Azadpur Mandi,Tomatoes,2100.0,9.9,10,8,1039.27,2
Azadpur Mandi,Tomatoes,3000.0,6.0,10,10,1161.6,2
Azadpur Mandi,Tomatoes,4600.0,7.8,8,2,4032.92,2
Azadpur Mandi,Tomatoes,3600.0,18.1,8,1,3255.27,2
Azadpur Mandi,Tomatoes,1700.0,8.2,10,4,1228.77,2
Azadpur Mandi,Tomatoes,2500.0,13.6,9,5,1728.93,2
Azadpur Mandi,Tomatoes,1650.0,5.7,8,9,899.03,2
Azadpur Mandi,Tomatoes,2285.0,14.2,9,9,1107.21,2
Azadpur Mandi,Tomatoes,1000.0,12.7,9,8,513.36,2
Azadpur Mandi,Tomatoes,1980.0,23.5,10,7,1043.65,2
Azadpur Mandi,Tomatoes,3300.0,7.0,8,0,3192.0,1
Azadpur Mandi,Tomatoes,1600.0,31.9,8,2,1244.45,0
Azadpur Mandi,Tomatoes,2200.0,36.0,10,7,1125.2,2
Azadpur Mandi,Tomatoes,2600.0,9.8,10,7,1443.74,2
Azadpur Mandi,Tomatoes,3100.0,5.0,10,6,1925.12,2
Azadpur Mandi,Tomatoes,2000.0,32.8,9,10,811.07,2
Azadpur Mandi,Tomatoes,2800.0,5.0,9,9,1395.0,2
Azadpur Mandi,Tomatoes,3900.0,20.1,10,8,1924.73,2
Azadpur Mandi,Tomatoes,1700.0,14.7,9,6,1066.59,2
Azadpur Mandi,Tomatoes,2400.0,8.9,9,8,1305.6,2
Azadpur Mandi,Tomatoes,3500.0,13.5,8,3,2866.74,2
Azadpur Mandi,Tomatoes,1800.0,24.2,9,3,1356.55,2
Azadpur Mandi,Tomatoes,1880.0,27.3,10,7,973.59,2
Azadpur Mandi,Tomatoes,2570.0,6.0,8,4,2005.94,2
Azadpur Mandi,Tomatoes,2950.0,33.0,9,10,1238.78,2
Azadpur Mandi,Tomatoes,2450.0,36.0,8,8,1345.96,2
Azadpur Mandi,Tomatoes,1500.0,5.0,8,5,1094.4,2
Azadpur Mandi,Tomatoes,1500.0,10.1,9,10,648.32,2
Azadpur Mandi,Tomatoes,2400.0,29.7,10,8,1130.38,2
Azadpur Mandi,Tomatoes,1400.0,5.0,10,7,778.36,2
Azadpur Mandi,Tomatoes,5000.0,35.9,10,5,3279.22,2
Azadpur Mandi,Tomatoes,1250.0,21.7,10,3,897.74,2
Azadpur Mandi,Tomatoes,2460.0,30.1,8,7,1480.85,2
Azadpur Mandi,Tomatoes,1800.0,34.0,10,10,624.0,2
Azadpur Mandi,Tomatoes,1600.0,11.3,8,5,1140.15,2
Azadpur Mandi,Tomatoes,1860.0,26.4,8,3,1424.73,2
Azadpur Mandi,Tomatoes,1815.0,20.0,8,9,942.14,2
Azadpur Mandi,Tomatoes,3000.0,11.6,8,10,1492.61,2
Azadpur Mandi,Tomatoes,2850.0,12.7,10,0,2716.8,0
Azadpur Mandi,Tomatoes,1450.0,17.4,8,6,937.42,2
Azadpur Mandi,Tomatoes,3000.0,36.1,8,7,1808.34,2
Ghazipur Mandi,Wheat,2810.0,30.3,1,36,2016.45,2
Ghazipur Mandi,Wheat,2810.0,5.0,1,10,2560.37,2
Ghazipur Mandi,Wheat,2810.0,18.6,2,34,1564.18,2
Ghazipur Mandi,Wheat,2810.0,14.2,1,4,2604.55,2
Ghazipur Mandi,Wheat,2810.0,31.1,2,13,2166.72,0
Ghazipur Mandi,Wheat,2810.0,34.7,1,8,2423.41,2
Ghazipur Mandi,Wheat,2810.0,9.2,1,34,2148.09,2
Ghazipur Mandi,Wheat,2810.0,34.4,2,21,1905.46,1
Ghazipur Mandi,Wheat,2810.0,5.0,1,7,2609.4,2
Ghazipur Mandi,Wheat,2810.0,31.0,1,13,2367.51,2
Ghazipur Mandi,Wheat,2810.0,30.0,1,20,2264.94,1
Ghazipur Mandi,Wheat,2810.0,8.5,1,13,2491.98,2
Ghazipur Mandi,Wheat,2810.0,20.3,2,24,1873.98,1
Ghazipur Mandi,Wheat,2810.0,32.7,1,17,2296.72,2
Ghazipur Mandi,Wheat,2810.0,30.6,1,39,1968.77,2
Ghazipur Mandi,Wheat,2810.0,15.2,1,37,2071.5,2
Ghazipur Mandi,Wheat,2810.0,20.9,1,14,2407.61,2
Ghazipur Mandi,Wheat,2810.0,22.2,1,32,2117.44,2
Ghazipur Mandi,Wheat,2810.0,15.7,2,13,2244.7,0
Ghazipur Mandi,Wheat,2810.0,5.0,2,38,1481.75,2
Ghazipur Mandi,Wheat,2810.0,6.1,2,2,2651.99,2
Ghazipur Mandi,Wheat,2810.0,24.0,2,41,1325.78,2
Ghazipur Mandi,Wheat,2810.0,6.9,1,28,2256.72,1
Ghazipur Mandi,Wheat,2810.0,19.3,2,38,1435.07,2
Ghazipur Mandi,Wheat,2810.0,22.1,1,37,2039.29,2
Ghazipur Mandi,Wheat,2810.0,28.3,1,36,2025.86,2
Ghazipur Mandi,Wheat,2810.0,29.2,1,3,2532.19,2
Ghazipur Mandi,Wheat,2810.0,21.9,2,4,2496.52,2
Ghazipur Mandi,Wheat,2810.0,32.7,1,37,1989.81,2
Ghazipur Mandi,Wheat,2810.0,20.8,1,35,2076.91,2
Ghazipur Mandi,Wheat,2810.0,18.0,2,14,2201.31,1
Ghazipur Mandi,Wheat,2810.0,29.9,1,28,2141.9,1
Ghazipur Mandi,Wheat,2810.0,10.0,2,44,1271.47,2
Ghazipur Mandi,Wheat,2810.0,27.2,1,35,2046.57,2
Ghazipur Mandi,Wheat,2810.0,21.0,1,26,2217.86,1
Ghazipur Mandi,Wheat,2810.0,14.1,1,9,2525.06,2
Ghazipur Mandi,Wheat,2810.0,14.0,2,7,2445.54,2
Ghazipur Mandi,Wheat,2810.0,16.8,2,45,1220.38,2
Ghazipur Mandi,Wheat,2810.0,23.5,2,12,2236.56,0
Ghazipur Mandi,Wheat,2810.0,6.9,2,24,1931.23,1
Ghazipur Mandi,Wheat,2810.0,11.0,2,42,1333.15,2
Ghazipur Mandi,Wheat,2810.0,34.6,2,3,2454.54,2
Ghazipur Mandi,Wheat,2810.0,29.7,1,7,2467.42,2
Ghazipur Mandi,Wheat,2810.0,24.8,1,27,2182.99,1
Ghazipur Mandi,Wheat,2810.0,15.1,1,28,2215.78,1
Ghazipur Mandi,Wheat,2810.0,5.6,1,21,2377.45,2
Ghazipur Mandi,Wheat,2810.0,33.9,1,45,1861.79,2
Ghazipur Mandi,Wheat,2810.0,10.3,2,45,1238.32,2
Ghazipur Mandi,Wheat,2810.0,8.5,1,0,2702.8,2
Ghazipur Mandi,Wheat,2810.0,32.4,1,39,1960.5,2
Ghazipur Mandi,Mustard,6000.0,23.3,3,8,4913.61,0
Ghazipur Mandi,Mustard,6000.0,28.0,2,25,3998.4,1
Ghazipur Mandi,Mustard,6000.0,13.7,3,24,3293.15,1
Ghazipur Mandi,Mustard,6000.0,32.2,2,1,5618.56,2
Ghazipur Mandi,Mustard,6000.0,18.3,3,33,2342.7,2
Ghazipur Mandi,Mustard,6000.0,34.1,3,43,1282.64,2
Ghazipur Mandi,Mustard,6000.0,33.9,2,23,4109.86,1
Ghazipur Mandi,Mustard,6000.0,22.2,2,23,4160.68,1
Ghazipur Mandi,Mustard,6000.0,12.9,1,42,4340.34,2
Ghazipur Mandi,Mustard,6000.0,24.1,2,20,4358.9,1
Ghazipur Mandi,Mustard,6000.0,20.0,1,19,5103.36,1
Ghazipur Mandi,Mustard,6000.0,18.1,2,21,4317.01,1
Ghazipur Mandi,Mustard,6000.0,5.0,1,39,4481.1,2
Ghazipur Mandi,Mustard,6000.0,19.6,1,31,4690.59,1
Ghazipur Mandi,Mustard,6000.0,5.0,3,18,3954.6,0
Ghazipur Mandi,Mustard,6000.0,14.2,2,28,3847.75,1
Ghazipur Mandi,Mustard,6000.0,23.9,1,29,4738.43,1
Ghazipur Mandi,Mustard,6000.0,31.3,3,17,3950.39,0
Ghazipur Mandi,Mustard,6000.0,12.3,3,1,5701.69,2
Ghazipur Mandi,Mustard,6000.0,20.7,1,29,4754.29,1
Ghazipur Mandi,Mustard,6000.0,21.6,3,3,5439.88,0
Ghazipur Mandi,Mustard,6000.0,8.4,1,38,4500.45,2
Ghazipur Mandi,Mustard,6000.0,28.4,2,9,5092.96,0
Ghazipur Mandi,Mustard,6000.0,33.4,2,32,3498.63,2
Ghazipur Mandi,Mustard,6000.0,5.0,2,6,5428.8,0
Ghazipur Mandi,Mustard,6000.0,25.1,1,2,5660.65,2
Ghazipur Mandi,Mustard,6000.0,10.1,3,7,5086.16,0
Ghazipur Mandi,Mustard,6000.0,5.6,3,36,2057.93,2
Ghazipur Mandi,Mustard,6000.0,8.2,1,27,4886.21,1
Ghazipur Mandi,Mustard,6000.0,10.3,2,34,3444.37,2
Ghazipur Mandi,Mustard,6000.0,10.5,2,31,3653.08,1
Ghazipur Mandi,Mustard,6000.0,31.9,3,15,4152.68,0
Ghazipur Mandi,Mustard,6000.0,15.9,1,20,5090.45,1
Ghazipur Mandi,Mustard,6000.0,16.2,3,17,4013.26,0
Ghazipur Mandi,Mustard,6000.0,5.0,3,32,2480.4,2
Ghazipur Mandi,Mustard,6000.0,9.3,3,18,3937.16,0
Ghazipur Mandi,Mustard,6000.0,22.4,2,1,5676.65,2
Ghazipur Mandi,Mustard,6000.0,33.9,1,19,5029.47,1
Ghazipur Mandi,Mustard,6000.0,13.8,3,1,5692.85,2
Ghazipur Mandi,Mustard,6000.0,14.7,3,11,4645.02,0
Ghazipur Mandi,Mustard,6000.0,31.1,1,37,4429.47,2
Ghazipur Mandi,Mustard,6000.0,29.1,1,33,4575.73,2
Ghazipur Mandi,Mustard,6000.0,32.1,3,21,3537.56,1
Ghazipur Mandi,Mustard,6000.0,29.3,1,9,5396.17,0
Ghazipur Mandi,Mustard,6000.0,21.8,3,45,1092.35,2
Ghazipur Mandi,Mustard,6000.0,18.5,1,16,5215.18,1
Ghazipur Mandi,Mustard,6000.0,11.4,2,44,2743.08,2
Ghazipur Mandi,Mustard,6000.0,16.1,1,21,5054.69,1
Ghazipur Mandi,Mustard,6000.0,31.2,2,28,3780.02,1
Ghazipur Mandi,Mustard,6000.0,8.0,3,36,2052.86,2
Ghazipur Mandi,Potatoes,1640.0,5.0,4,20,820.14,1
Ghazipur Mandi,Potatoes,1640.0,30.5,3,5,1296.02,0
Ghazipur Mandi,Potatoes,1640.0,5.0,3,24,895.85,2
Ghazipur Mandi,Potatoes,1640.0,19.4,5,20,596.32,1
Ghazipur Mandi,Potatoes,1640.0,5.0,3,26,839.07,2
Ghazipur Mandi,Potatoes,1640.0,33.5,4,26,528.73,2
Ghazipur Mandi,Potatoes,1640.0,22.9,3,24,834.85,2
Ghazipur Mandi,Potatoes,1640.0,19.3,4,12,1061.88,0
Ghazipur Mandi,Potatoes,1640.0,31.3,3,27,729.57,2
Ghazipur Mandi,Potatoes,1640.0,29.0,4,1,1398.8,0
Ghazipur Mandi,Potatoes,1640.0,7.8,5,0,1560.4,1
Ghazipur Mandi,Potatoes,1640.0,5.0,5,25,394.3,2
Ghazipur Mandi,Potatoes,1640.0,5.0,5,7,1245.99,0
Ghazipur Mandi,Potatoes,1640.0,17.3,3,26,799.81,2
Ghazipur Mandi,Potatoes,1640.0,12.4,5,21,567.14,2
Ghazipur Mandi,Potatoes,1640.0,18.7,5,23,463.45,2
Ghazipur Mandi,Potatoes,1640.0,34.8,3,23,819.46,2
Ghazipur Mandi,Potatoes,1640.0,9.5,5,19,666.59,1
Ghazipur Mandi,Potatoes,1640.0,7.7,5,16,811.72,1
Ghazipur Mandi,Potatoes,1640.0,19.4,3,10,1222.46,0
Ghazipur Mandi,Potatoes,1640.0,13.7,4,1,1488.4,0
Ghazipur Mandi,Potatoes,1640.0,5.7,3,7,1374.8,0
Ghazipur Mandi,Potatoes,1640.0,27.5,3,28,715.33,2
Ghazipur Mandi,Potatoes,1640.0,26.1,4,24,615.05,2
Ghazipur Mandi,Potatoes,1640.0,10.6,5,17,756.36,1
Ghazipur Mandi,Potatoes,1640.0,30.0,5,29,214.08,2
Ghazipur Mandi,Potatoes,1640.0,5.0,5,4,1387.94,1
Ghazipur Mandi,Potatoes,1640.0,5.2,5,16,819.52,1
Ghazipur Mandi,Potatoes,1640.0,6.8,4,24,664.15,2
Ghazipur Mandi,Potatoes,1640.0,17.6,5,11,1006.07,0
Ghazipur Mandi,Potatoes,1640.0,21.0,5,7,1170.15,0
Ghazipur Mandi,Potatoes,1640.0,24.4,3,22,882.32,2
Ghazipur Mandi,Potatoes,1640.0,27.3,4,7,1200.91,0
Ghazipur Mandi,Potatoes,1640.0,10.7,3,11,1237.49,0
Ghazipur Mandi,Potatoes,1640.0,9.7,4,8,1251.59,0
Ghazipur Mandi,Potatoes,1640.0,35.0,5,9,1019.96,0
Ghazipur Mandi,Potatoes,1640.0,22.6,3,22,888.85,2
Ghazipur Mandi,Potatoes,1640.0,21.5,4,25,591.28,2
Ghazipur Mandi,Potatoes,1640.0,12.9,5,20,611.92,1
Ghazipur Mandi,Potatoes,1640.0,27.6,5,15,792.88,1
Ghazipur Mandi,Potatoes,1640.0,6.0,5,22,534.21,2
Ghazipur Mandi,Potatoes,1640.0,29.8,5,29,214.26,2
